HIP1,HIP2,Cst
9884,13914,Ari
13914,14838,Ari
93747,97278,Aql
97278,97649,Aql
97649,98036,Aql
98036,99473,Aql
99473,97804,Aql
97804,96468,Aql
96468,93805,Aql
93805,95501,Aql
95501,97649,Aql
26727,26311,Ori
26311,25930,Ori
27989,26207,Ori
26207,25336,Ori
25336,25930,Ori
25930,24436,Ori
24436,27366,Ori
27366,26727,Ori
26727,27989,Ori
25336,22449,Ori
22957,22509,Ori
22509,22449,Ori
22449,22549,Ori
22549,22797,Ori
99240,102395,Pav
102395,105858,Pav
105858,100751,Pav
100751,99240,Pav
99240,98495,Pav
98495,91792,Pav
91792,93015,Pav
93015,99240,Pav
93015,92609,Pav
92609,90098,Pav
90098,88866,Pav
88866,86929,Pav
88866,92609,Pav
39953,42536,Vel
42536,42913,Vel
42913,45941,Vel
45941,48774,Vel
48774,52727,Vel
52727,51986,Vel
51986,50191,Vel
50191,46651,Vel
46651,44816,Vel
44816,39953,Vel
107315,109427,Peg
109427,112029,Peg
112029,112447,Peg
112447,113963,Peg
113963,1067,Peg
1067,677,Peg
677,113881,Peg
113881,113963,Peg
113881,112158,Peg
113881,112748,Peg
112748,112440,Peg
13268,14328,Per
14328,15863,Per
15863,17358,Per
17358,18532,Per
18532,18614,Per
18614,18246,Per
15863,14576,Per
13147,14879,For
43103,42806,Cnc
42806,42911,Cnc
42911,40526,Cnc
42911,44066,Cnc
5571,7097,Psc
7097,8198,Psc
8198,9487,Psc
9487,8833,Psc
8833,7884,Psc
7884,7007,Psc
7007,4906,Psc
4906,3786,Psc
3786,118268,Psc
118268,116771,Psc
116771,115830,Psc
115830,114971,Psc
114971,115738,Psc
115738,116928,Psc
116928,116771,Psc
114971,113889,Psc
44248,44700,Lyn
44700,45688,Lyn
45688,45860,Lyn
76127,75695,CrB
75695,76267,CrB
76267,76952,CrB
76952,77512,CrB
77512,78159,CrB
78159,78493,CrB
17440,19780,Ret
19780,19921,Ret
19921,18597,Ret
18597,17440,Ret
82671,84143,Sco
84143,86228,Sco
86228,87073,Sco
87073,86670,Sco
86670,85927,Sco
82671,82545,Sco
82545,82396,Sco
82396,81266,Sco
81266,80763,Sco
80763,78820,Sco
80763,80112,Sco
80112,78401,Sco
80763,78265,Sco
98337,97365,Sge
97365,96837,Sge
97365,96757,Sge
94141,92855,Sgr
89341,90496,Sgr
93506,93864,Sgr
93864,92855,Sgr
92855,90496,Sgr
90496,89931,Sgr
89931,90185,Sgr
90185,89642,Sgr
89931,88635,Sgr
90568,90422,Tel
26451,21421,Tau
21421,20894,Tau
20894,20205,Tau
20205,20455,Tau
20455,20648,Tau
20648,20889,Tau
21421,25428,Tau
20455,17702,Tau
20205,18724,Tau
18724,15900,Tau
10064,8796,Tri
8796,10670,Tri
10670,10064,Tri
2484,114996,Tuc
114996,110130,Tuc
114996,1599,Tuc
2072,5165,Phe
5165,7083,Phe
7083,8837,Phe
8837,5165,Phe
5165,6867,Phe
6867,2072,Phe
2072,2081,Phe
2081,765,Phe
765,2072,Phe
2072,5348,Phe
5348,5165,Phe
68933,67464,Cen
67464,67472,Cen
67472,68282,Cen
68282,68002,Cen
68002,66657,Cen
66657,68702,Cen
68702,71683,Cen
67472,71352,Cen
71352,73334,Cen
68002,61932,Cen
61932,60823,Cen
60823,59196,Cen
59196,56480,Cen
56480,56561,Cen
109492,112724,Cep
112724,116727,Cep
116727,106032,Cep
106032,105199,Cep
105199,109492,Cep
109492,110991,Cep
106032,112724,Cep
74824,71908,Cir
71908,75323,Cir
23875,22701,Eri
22701,22109,Eri
22109,21444,Eri
21444,17378,Eri
17378,16537,Eri
16537,15197,Eri
15197,13701,Eri
13701,12843,Eri
12843,14146,Eri
14146,15474,Eri
15474,16611,Eri
16611,17651,Eri
17651,21393,Eri
21393,20535,Eri
20535,20042,Eri
20042,17874,Eri
17874,17797,Eri
17797,15510,Eri
15510,13847,Eri
13847,12486,Eri
12486,12413,Eri
12413,11407,Eri
11407,10602,Eri
10602,9007,Eri
9007,7588,Eri
2021,17678,Hyi
17678,12394,Hyi
12394,11001,Hyi
11001,9236,Hyi
93542,94005,CrA
94005,94160,CrA
94160,94114,CrA
94114,93825,CrA
93825,93174,CrA
93174,90982,CrA
107380,109285,PsA
109285,111188,PsA
111188,112948,PsA
112948,113368,PsA
113368,111954,PsA
111954,111188,PsA
61084,60718,Cru
62434,59747,Cru
82273,77952,TrA
77952,74946,TrA
74946,82273,TrA
109937,111104,Lac
111104,111022,Lac
111022,111169,Lac
111169,110538,Lac
110538,110609,Lac
110609,111022,Lac
